GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
salesplatform,com.ecoatm.salesplatform.exception,GlobalExceptionHandler,10,136,2,6,2,30,3,11,1,9
salesplatform,com.ecoatm.salesplatform.dto,RmaItemResponse,34,79,1,1,11,20,12,9,11,9
salesplatform,com.ecoatm.salesplatform.dto,RmaSummaryResponse,0,39,0,0,0,14,0,7,0,7
salesplatform,com.ecoatm.salesplatform.dto,OfferSummary,0,39,0,0,0,14,0,7,0,7
salesplatform,com.ecoatm.salesplatform.dto,DirectUserListResponse,356,27,70,0,10,1,56,1,21,1
salesplatform,com.ecoatm.salesplatform.dto,DirectUserDetailResponse,614,122,130,0,1,19,70,35,5,35
salesplatform,com.ecoatm.salesplatform.dto,OracleResponse,0,76,0,0,0,21,0,14,0,14
salesplatform,com.ecoatm.salesplatform.dto,OrderDetailBySkuResponse,0,24,0,0,0,1,0,1,0,1
salesplatform,com.ecoatm.salesplatform.dto,PricingUpdateRequest,0,36,0,0,0,12,0,8,0,8
salesplatform,com.ecoatm.salesplatform.dto,OrderDetailByDeviceResponse,0,30,0,0,0,1,0,1,0,1
salesplatform,com.ecoatm.salesplatform.dto,PriceHistoryResponse,0,86,0,8,0,14,0,6,0,2
salesplatform,com.ecoatm.salesplatform.dto,CartItemRequest,0,38,0,0,0,11,0,11,0,11
salesplatform,com.ecoatm.salesplatform.dto,OfferItemResponse,46,210,7,11,6,56,13,27,6,25
salesplatform,com.ecoatm.salesplatform.dto,OrderHistoryTabCounts,0,15,0,0,0,1,0,1,0,1
salesplatform,com.ecoatm.salesplatform.dto,SubmitResponse,2,189,1,3,0,58,1,19,0,18
salesplatform,com.ecoatm.salesplatform.dto,DirectUserPageResponse,161,33,22,0,2,6,21,6,10,6
salesplatform,com.ecoatm.salesplatform.dto,AtpSyncResult,4,48,0,0,1,14,1,14,1,14
salesplatform,com.ecoatm.salesplatform.dto,CaseLotResponse,25,100,5,7,0,31,5,16,0,15
salesplatform,com.ecoatm.salesplatform.dto,BuyerCodeResponse,183,27,38,0,2,5,28,5,9,5
salesplatform,com.ecoatm.salesplatform.dto,DeviceRequest,0,199,0,0,0,57,0,57,0,57
salesplatform,com.ecoatm.salesplatform.dto,RoleResponse,109,15,22,0,2,3,18,3,7,3
salesplatform,com.ecoatm.salesplatform.dto,DirectUserSaveRequest,312,59,66,0,1,10,38,17,5,17
salesplatform,com.ecoatm.salesplatform.dto,RmaDetailResponse,0,15,0,0,0,6,0,3,0,3
salesplatform,com.ecoatm.salesplatform.dto,LoginResponse,0,12,0,0,0,5,0,1,0,1
salesplatform,com.ecoatm.salesplatform.dto,DeviceResponse,35,160,7,9,0,47,7,25,0,24
salesplatform,com.ecoatm.salesplatform.dto,DeposcoInventoryDto.ItemInventory,0,24,0,0,0,7,0,7,0,7
salesplatform,com.ecoatm.salesplatform.dto,LoginRequest,118,24,26,0,0,4,17,7,4,7
salesplatform,com.ecoatm.salesplatform.dto,DeposcoInventoryDto.FacilityInventory,0,38,0,0,0,11,0,11,0,11
salesplatform,com.ecoatm.salesplatform.dto,PricingDeviceResponse,7,187,7,7,0,42,7,28,0,28
salesplatform,com.ecoatm.salesplatform.dto,DeposcoInventoryDto.InventoryPage,0,24,0,0,0,7,0,7,0,7
salesplatform,com.ecoatm.salesplatform.dto,DeposcoInventoryDto,3,0,0,0,1,0,1,0,1,0
salesplatform,com.ecoatm.salesplatform.dto,CsvUploadResult,0,15,0,0,0,1,0,1,0,1
salesplatform,com.ecoatm.salesplatform.dto,RmaSubmitResponse,85,0,0,0,25,0,15,0,15,0
